Class,.id,SYMBOL,Process.category,Description,释义,Number.of.founder.sets,Number.of.genes
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Elovl6,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Enpp2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Enpp3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Enpp1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ephx2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Esrra,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Esyt1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Etfb,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Fabp4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Pmp2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Fabp9,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Fah,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Fzd4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,G3bp2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gadd45a,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gadd45g,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gbe1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ghitm,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpam,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpat4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpat3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpd2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gphn,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpx3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpx6,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpx5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Gpx4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Grpel1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Hadh,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Hibch,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Hspb8,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Idh1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Idh2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Idh3a,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Idh3g,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,4933405O20Rik,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ifngr1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Immt,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Itga7,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Itga3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Itih5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Itsn1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Itsn2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Jagn1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lama4,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lama5,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lama3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lep,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lifr,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Osmr,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lipe,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lpcat3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Lpl,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Ltc4s,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Map4k3,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Map4k2,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Map4k1,Development,Adipocyte development,脂肪细胞的发育,36,200
ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Map4k5,Development,Adipocyte development,脂肪细胞的发育,36,200
